delta_t,pws_pwf,pws,t_dt
19,NaN,1192,12.530
25,NaN,1200,9.760
31,NaN,1206,8.065
37,NaN,1212,6.919
43,NaN,1216,6.093
49,NaN,1220,5.469
55,NaN,1223,4.982
61,NaN,1227,4.590
67,NaN,1230,4.269
73,NaN,1232,4.000
79,NaN,1235,3.772
85,NaN,1236,3.576
91,NaN,1237,3.407
97,NaN,1239,3.258
103,NaN,1241,3.126
109,NaN,1242,3.009
115,NaN,1241,2.904
121,NaN,1243,2.810
127,NaN,1244,2.724
133,NaN,1245,2.647
139,NaN,1247,2.576
145,NaN,1249,2.510
151,NaN,1249,2.450
157,NaN,1250,2.395
477,NaN,1267,1.459
